position,flow_cell_id,product_code,passed,total_pore_count,timestamp
2B,PAQ49633,FLO-PRO114M,False,4218,1726580591
2B,PAQ73992,FLO-PRO114M,True,7215,1698173312
2B,CTC43489,FLO-PRO002,False,0,1724772700
2B,PAU27802,FLO-PRO114M,True,7433,1702907164
2C,PAU50428,FLO-PRO114M,True,6183,1721326833
2C,PAW20467,FLO-PRO114M,True,7108,1711375281
2C,PAU50404,FLO-PRO114M,True,6035,1709649390
2C,PAW77376,FLO-PRO114M,True,7632,1719842136
2C,PAQ74551,FLO-PRO114M,True,8202,1698173306
2C,CTC43497,FLO-PRO002,False,0,1724772704
2C,PAO13139,FLO-PRO114M,True,6253,1705595339
2C,PAW23893,FLO-PRO114M,True,7925,1711379940
2C,PAS46614,FLO-PRO114M,False,4878,1713972113
2C,PAW73593,FLO-PRO114M,True,7545,1716920376
2C,PAO95918,FLO-PRO114M,True,5958,1721323695
2C,PAS46354,FLO-PRO114M,False,423,1712240567
2C,PAW71130,FLO-PRO114M,True,7091,1715697316
2C,PAW71041,FLO-PRO114M,True,7396,1716311057
2C,PAW71372,FLO-PRO114M,True,6591,1715696187
2C,PAU30946,FLO-PRO114M,True,7690,1702907166
2C,PAU70269,FLO-PRO114M,True,5704,1709226772
2C,PAW25364,FLO-PRO114M,True,7861,1710172038
2C,PAW80779,FLO-PRO114M,True,5635,1721325317
2C,PAU32062,FLO-PRO114M,True,7344,1708698137
2C,PBA02818,FLO-PRO114M,True,5758,1720789990
2C,PAW70957,FLO-PRO114M,True,7688,1715692854
2C,PAY60191,FLO-PRO114M,True,6386,1721757455
2C,PAO13005,FLO-PRO114M,False,4383,1726580603
2C,PAS67766,FLO-PRO114M,True,6348,1719240296
2D,PAW24208,FLO-PRO114M,True,7567,1711379945
2D,PAW74709,FLO-PRO114M,True,8211,1716920382
2D,PAW77340,FLO-PRO114M,True,6503,1719842141
2D,PAS64393,FLO-PRO114M,True,5416,1719240297
2D,PAK81561,FLO-PRO114M,False,4564,1712675108
2D,PAW62479,FLO-PRO114M,True,6301,1716311048
